date,product_id,store_id,regular_price,selling_price,discount_percentage,price_change_flag,price_change_reason
2023-01-01,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-02,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-03,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-04,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-05,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-06,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-07,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-08,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-09,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-10,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-11,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-12,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-13,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-14,P00001,S00169,108.79,65.62,39.69,False,none
2023-01-15,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-16,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-17,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-18,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-19,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-20,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-21,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-22,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-23,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-24,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-25,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-26,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-27,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-28,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-29,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-30,P00001,S00169,108.79,108.79,0.0,False,none
2023-01-31,P00001,S00169,108.79,108.79,0.0,False,none
2023-02-01,P00001,S00169,108.79,108.79,0.0,False,none
2023-02-02,P00001,S00169,108.79,108.79,0.0,False,none
