date,product_id,competitor_id,competitor_name,competitor_product_id,competitor_price,competitor_discount,competitor_promotion_flag,competitor_effective_price
2023-01-01,P00001,COMP01,RivalCorp,COMP01-P00001,107.46,0.0,False,107.46
2023-01-02,P00001,COMP01,RivalCorp,COMP01-P00001,107.46,0.0,False,107.46
2023-01-03,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-04,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-05,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-06,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-07,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-08,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-09,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-10,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-11,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-12,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-13,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-14,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-15,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-16,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-17,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-18,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-19,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-20,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-21,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-22,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-23,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-24,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-25,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-26,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-27,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-28,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-29,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-30,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-01-31,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-01,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-02,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-03,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-04,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-05,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-06,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-07,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-08,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-09,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-10,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-11,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-12,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-13,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-14,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-15,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-16,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-17,P00001,COMP01,RivalCorp,COMP01-P00001,107.03,0.0,False,107.03
2023-02-18,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-19,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-20,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-21,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-22,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-23,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-24,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-25,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-26,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-27,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-02-28,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
2023-03-01,P00001,COMP01,RivalCorp,COMP01-P00001,108.38,0.0,False,108.38
